,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,G,C,0,C,"(0, 4, 7)",I,C,E,C,0.0,1.0
1,G,C,1,C,"(0, 4, 7)",I,C,E,C,0.125,1.0
2,G,C,2,C,"(0, 4, 7)",I,C,E,C,0.25,1.0
3,G,C,2,C,"(0, 4, 7)",I,C,E,C,0.375,1.0
4,G,C,3,C,"(0, 4, 7)",I,C,E,C,0.5,1.0
5,G,C,3,C,"(0, 4, 7)",I,C,E,C,0.625,1.0
6,G,C,3,C,"(0, 4, 7)",I,C,E,C,0.75,1.0
7,G,C,3,C,"(0, 4, 7)",I,C,E,C,0.875,1.0
8,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.0,1.0
9,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.125,1.0
10,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.25,1.0
11,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.375,1.0
12,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.5,1.0
13,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.625,1.0
14,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.75,1.0
15,G,C,4,C,"(0, 4, 7)",I,C,E,C,1.875,1.0
16,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.0,1.0
17,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.125,1.0
18,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.25,1.0
19,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.375,1.0
20,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.5,1.0
21,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.625,1.0
22,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.75,1.0
23,G,C,5,C,"(0, 4, 7)",I,C,E,C,2.875,1.0
24,G,C,5,C,"(0, 4, 7)",I,C,E,C,3.0,1.0
25,G,C,5,C,"(0, 4, 7)",I,C,E,C,3.125,1.0
26,G,C,5,C,"(0, 4, 7)",I,C,E,C,3.25,1.0
27,G,C,5,C,"(0, 4, 7)",I,C,E,C,3.375,1.0
28,G,C,5,C,"(0, 4, 7)",I,C,E,C,3.5,1.0
